phi0,phi1,phi2,phi3,phi4,phi5,phi6,classe
1.654536155323436e-08,6.820923655199443e-11,1.1258654108921296e-15,1.5606608574692118e-15,3.392282387308755e-30,1.0606118298205457e-21,-9.476654074713273e-31,3.0
2.102316085717278e-06,3.440032737493155e-11,3.4588818833965013e-15,1.4538051684363605e-15,2.0376669417572986e-30,1.8134831015342747e-21,3.315452392275599e-30,3.0
2.87938974446351e-06,2.656781813725745e-10,1.790048202566882e-14,8.569585219562927e-15,-1.5693339180097665e-28,-7.108488850877297e-20,1.195792272126802e-28,3.0
6.164913840582144e-06,4.627420136418887e-11,1.7472140406895937e-15,3.105178150206929e-15,5.970728344546915e-30,-4.233755113167969e-21,1.6029542168706559e-29,3.0
4.3322547267535886e-07,3.8920073416653404e-11,2.9464647858214626e-14,1.7808834940094834e-15,1.1794821224862407e-29,3.9764363688881184e-21,6.137401269941088e-30,4.0
-4.968836163976347e-07,1.0932414202025212e-10,3.3322095333901905e-14,7.531786434972994e-15,9.810083743446954e-29,3.896475526781039e-20,1.8508065707427322e-29,4.0
4.807893879323366e-07,2.1216444631821048e-11,3.3125111564051716e-15,1.9522163523803384e-16,-1.1557506133247774e-31,-3.825958411462466e-22,-9.96541637613037e-32,4.0
-3.993739722093581e-06,2.3456611553838318e-11,2.0723376303383683e-14,9.389972045830121e-15,5.188208602762597e-29,1.9470709825079258e-20,1.9869634189178798e-28,4.0
-1.238564630706899e-06,1.614528966226426e-11,2.8325750563079665e-16,3.9395695849201083e-16,-3.3074699263019597e-31,7.203529138629895e-22,3.437297807597308e-31,4.0
5.425283360885581e-06,2.95762620869218e-11,5.843082989925883e-14,5.056020970457775e-15,7.446898505717714e-29,2.5143968812093176e-20,5.5749303948154465e-30,4.0
1.8146402445121591e-06,6.997044494037131e-11,6.18332182780173e-15,1.1318229790846898e-14,1.3324291863496844e-28,2.860736348018084e-20,-3.1153694573740097e-28,4.0
-5.270029937932937e-07,5.379559629235334e-11,3.1230367208673936e-14,1.8114033936819456e-15,1.1779303019800805e-29,5.629262507570524e-21,3.906000747986633e-30,4.0
2.8014340046291745e-07,8.555613679078296e-11,2.1606793461858356e-14,6.470197852762574e-15,7.655663556143894e-29,2.9957913425698506e-20,-1.1051833657365223e-29,4.0
2.2488768837828167e-06,7.114625450823972e-12,3.1356065348452633e-15,2.7349718920351226e-16,-5.624318590707806e-31,-6.406891823053473e-22,5.5388748814708035e-31,4.0
3.589900771100402e-06,5.097081481806071e-11,6.392773982488326e-16,1.8744590250449054e-15,2.557761297685103e-30,4.3598216578439636e-21,7.357544540623441e-30,5.0
-2.043923008972557e-06,6.548277452506664e-10,9.679024740127105e-14,2.389780196339875e-14,7.599659973456617e-28,2.858230585926897e-19,5.303699129557566e-28,5.0
-1.3516112328795438e-06,3.0552204582110084e-10,1.8155764934765927e-14,4.44840243954947e-15,2.56247016830258e-29,3.583253518136492e-20,1.7571208485392586e-29,5.0
2.4591168008474444e-07,1.2092644640164625e-10,1.990980433084359e-14,5.42119709242405e-15,4.363568013052765e-29,2.6598410598905815e-20,2.965444749838594e-29,5.0
3.768851039864291e-06,1.99989112232064e-11,5.928780059623572e-16,9.714018483477875e-16,1.1198567688013282e-30,4.658644202832172e-22,-2.8454583961834902e-31,5.0
-6.234913022437626e-07,2.6282194875897946e-10,1.1761503984984583e-13,2.6940738945368394e-14,1.0083780527964554e-27,1.9000050806333276e-19,7.238161485106483e-28,5.0
1.0770890079053714e-06,5.1688097491496805e-11,4.2734979584002644e-16,8.428033152171263e-16,2.2543231165820227e-30,3.1258094300283824e-21,5.028239889618164e-31,5.0
6.367096963731068e-07,3.1001097088478715e-10,7.230511096371375e-16,1.5912659410336633e-16,6.15554488097873e-32,1.205190000902117e-21,6.199329114622334e-32,5.0
2.022077341817987e-06,3.053182195862089e-10,6.769716170689233e-14,1.5914039961009704e-14,3.714173222639538e-28,1.1021922603712568e-19,1.8777002048887924e-28,5.0
